DATE,TIME,OBS_NO,WEIGHT,STATUS,Visit
2000/01/17,23:56:31,4,1820.6951,s,227
2000/01/17,23:57:10,4,1871.1935,s,228
2000/01/17,23:59:11,2,90.7681,s,229
2000/01/17,23:59:15,2,117.4372,s,230
2000/01/18,00:01:35,8,777.3863,s,231
2000/01/18,00:01:39,1,764.4232,s,232
2000/01/18,00:04:33,6,691.6741,s,233
2000/01/18,00:06:34,15,6163.5342,s,234
2000/01/18,00:11:17,23,7456.251,s,235
2000/01/18,00:12:25,18,8939.0947,s,236
2000/01/18,00:12:51,18,7575.2793,s,237
2000/01/18,00:17:25,2,1049.0797,s,238
2000/01/18,00:17:37,23,7135.6025,s,239
2000/01/18,00:21:53,26,7354.6191,s,240
2000/01/18,00:22:46,78,7633.6313,s,241
2000/01/18,00:25:14,13,7131.3374,s,242
2000/01/18,00:25:19,17,9919.3799,s,243
2000/01/18,00:31:06,37,7379.2212,s,244
2000/01/18,00:32:31,14,1699.2201,s,245
2000/01/18,00:33:18,10,5267.2109,s,246
2000/01/18,00:41:17,1,42.9171,s,247
2000/01/18,00:41:35,1,276.0894,s,248
2000/01/18,00:45:02,2,1053.1526,s,249
2000/01/18,00:45:08,29,5237.6387,s,250
2000/01/18,00:48:48,28,8011.3579,s,251
2000/01/18,00:51:40,13,3660.8796,s,252
2000/01/18,00:51:52,3,595.0874,s,253
2000/01/18,00:52:04,1,120.4371,s,254
2000/01/18,00:52:25,2,898.2728,s,255
2000/01/18,01:09:16,15,2122.9773,s,256
2000/01/18,01:11:02,1,401.6443,s,257
2000/01/18,01:13:08,1,270.1513,s,258
2000/01/18,01:15:55,16,4235.9185,s,259
2000/01/18,01:16:06,1,80.5072,s,260
2000/01/18,01:16:11,5,1941.4749,s,261
2000/01/18,01:18:07,7,416.735,s,262
2000/01/18,01:20:52,34,9163.8271,s,263
2000/01/18,01:25:58,34,6430.4399,s,264
2000/01/18,01:26:01,1,172.7711,s,265
2000/01/18,01:26:04,4,1517.7484,s,266
2000/01/18,01:26:11,18,4964.9609,s,267
2000/01/18,01:35:42,39,7935.9653,s,268
2000/01/18,01:48:41,17,8407.4053,s,269
2000/01/18,01:49:01,47,7531.1274,s,270
2000/01/18,01:55:53,20,7777.416,s,271
2000/01/18,02:01:50,18,1417.5859,s,272
2000/01/18,02:01:55,6,248.3459,s,273
2000/01/18,02:04:39,6,1320.2689,s,274
2000/01/18,02:04:44,18,4976.2358,s,275
2000/01/18,02:05:59,28,6970.7583,s,276
2000/01/18,02:07:15,18,6836.7695,s,277
2000/01/18,02:08:24,21,7906.0439,s,278
2000/01/18,02:09:10,34,7771.5747,s,279
2000/01/18,02:11:55,67,7916.7749,s,280
2000/01/18,02:13:51,36,7011.5308,s,281
2000/01/18,02:14:55,17,6352.8203,s,282
2000/01/18,02:16:12,50,6974.4141,s,283
2000/01/18,02:16:43,33,8769.3867,s,284
2000/01/18,02:18:04,63,9722.6943,s,285
2000/01/18,02:22:28,32,7964.1011,s,286
